N,Insertion sort,Merge sort
1000,3924,872
2000,16990,1803
3000,57704,2785
4000,82822,3533
5000,128303,4597
6000,177013,6181
7000,228526,8035
8000,265834,8649
9000,318776,10631
10000,384327,10564
11000,458281,13060
12000,556491,12062
13000,660365,14125
14000,763431,18621
15000,884955,15472
16000,1000147,16435
17000,1207810,18398
18000,1700212,20646
19000,1944830,19456
20000,2104221,22678
21000,5558808,24049
22000,3314820,22954
23000,2768412,25199
24000,2946287,27773
25000,3231879,29747
26000,3462209,30897
27000,3795907,28738
28000,4025276,31477
29000,4369166,35036
30000,4722739,33609
