N,Merge sort,Hybrid merge/insertion n=5,Hybrid merge/insertion n=10,Hybrid merge/insertion n=20,Hybrid merge/insertion n=30
10000,96385,92888,96139,108361,108423
20000,208702,201811,208105,232233,232466
30000,326847,317056,319863,342635,408058
40000,449432,435493,447809,496719,496994
50000,574573,558802,559095,585505,670764
60000,701651,682089,687946,733474,863605
70000,831005,807411,821892,890269,890385
80000,962897,935103,960016,1058191,1058282
90000,1095516,1065929,1066087,1103442,1234897
100000,1228974,1197554,1198202,1251894,1421796
110000,1363876,1328556,1333912,1405095,1618104
120000,1499302,1460025,1471979,1562612,1823968
130000,1635252,1591923,1611538,1725406,1725307
140000,1774062,1726587,1754885,1893921,1893398
150000,1913651,1862444,1900462,2066188,2065873
160000,2053371,1998382,2047895,2244198,2244020
170000,2193748,2135808,2170431,2249362,2425444
180000,2334830,2275709,2276369,2350395,2612236
190000,2476103,2415818,2415617,2505915,2805123
200000,2617708,2555288,2556894,2663220,3003792
