N,Merge sort,Insertion sort
1,0,0
2,0,0
3,2,1
4,4,2
5,7,4
6,9,7
7,12,10
8,15,13
9,19,18
10,22,22
11,25,27
12,29,33
13,33,38
14,37,45
15,41,52
16,45,58
17,49,67
18,54,75
19,58,83
20,62,93
21,67,106
22,72,112
23,76,127
24,81,131
25,86,147
26,91,158
27,95,175
28,100,188
29,105,201
30,110,215
31,115,236
32,120,250
33,125,261
34,130,277
35,136,294
36,142,310
37,147,333
38,152,345
39,158,369
40,162,392
41,169,409
42,174,420
43,180,441
44,185,464
45,191,482
46,196,514
47,202,537
48,208,558
49,214,580
50,220,609
51,225,634
52,231,652
53,236,683
54,242,694
55,248,730
56,254,766
57,260,785
58,265,822
59,272,843
60,277,874
61,283,898
62,290,944
63,296,974
64,302,985
